#RIC,Date-Time,Price,Volume,Numberoftrades,Bidprice,Ask Price,NumberofBid,NumberofAsk,Depth,Spread,,,
AAPL.OQ,2014-07-07T11:00:00.000000000Z,94.12,7855,32,94.07,94.12,103,103,206,0.05,,,94.12
AAPL.OQ,2014-07-07T12:00:00.000000000Z,93.98,31943,100,93.98,94,267,267,534,0.02,,,93.98
AAPL.OQ,2014-07-07T13:00:00.000000000Z,94.98,2355577,9043,94.98,94.99,56216,56216,112432,0.01,,,94.98
AAPL.OQ,2014-07-07T14:00:00.000000000Z,95.38,2581312,14578,95.38,95.39,97286,97286,194572,0.01,,,95.38
AAPL.OQ,2014-07-07T15:00:00.000000000Z,94.78,1399848,9532,94.77,94.78,83316,83316,166632,0.01,,,94.78
AAPL.OQ,2014-07-07T16:00:00.000000000Z,95.13,776168,5696,95.12,95.13,51389,51389,102778,0.01,,,95.13
AAPL.OQ,2014-07-07T17:00:00.000000000Z,95.38,608796,4866,95.38,95.39,51796,51796,103592,0.01,,,95.38
AAPL.OQ,2014-07-07T18:00:00.000000000Z,95.66,1069728,6482,95.65,95.66,69527,69527,139054,0.01,,,95.66
AAPL.OQ,2014-07-07T19:00:00.000000000Z,95.97,2079879,11275,95.96,95.97,100051,100051,200102,0.01,,,95.97
AAPL.OQ,2014-07-07T20:00:00.000000000Z,96.18,1515105,172,96.18,96.19,482,482,964,0.01,,,96.18
AAPL.OQ,2014-07-07T21:00:00.000000000Z,96.26,20880,113,96.25,96.29,219,219,438,0.04,,,96.26
AAPL.OQ,2014-07-07T22:00:00.000000000Z,96.25,24801,85,96.25,96.26,114,114,228,0.01,,,96.25
AAPL.OQ,2014-07-07T23:00:00.000000000Z,96.23,20370,104,96.25,96.31,154,154,308,0.06,,,96.23
AAPL.OQ,2014-07-08T08:00:00.000000000Z,96.35,6346,26,96.27,96.35,184,184,368,0.08,,,96.35
AAPL.OQ,2014-07-08T09:00:00.000000000Z,96.26,2495,7,96.27,96.31,47,47,94,0.04,,,96.26
AAPL.OQ,2014-07-08T10:00:00.000000000Z,96.41,6049,35,96.26,96.41,173,173,346,0.15,,,96.41
AAPL.OQ,2014-07-08T11:00:00.000000000Z,96.47,50072,151,96.38,96.47,244,244,488,0.09,,,96.47
AAPL.OQ,2014-07-08T12:00:00.000000000Z,96.49,129631,512,96.4,96.49,1097,1097,2194,0.09,,,96.49
AAPL.OQ,2014-07-08T13:00:00.000000000Z,96.155,3215030,15069,96.15,96.16,121289,121289,242578,0.01,,,96.155
AAPL.OQ,2014-07-08T14:00:00.000000000Z,95.31,2706665,17326,95.3,95.31,161401,161401,322802,0.01,,,95.31
AAPL.OQ,2014-07-08T15:00:00.000000000Z,94.24,1730272,11300,94.23,94.25,97951,97951,195902,0.02,,,94.24
AAPL.OQ,2014-07-08T16:00:00.000000000Z,94.94,1083861,7519,94.93,94.95,83136,83136,166272,0.02,,,94.94
AAPL.OQ,2014-07-08T17:00:00.000000000Z,95.31,901136,5848,95.3,95.31,74499,74499,148998,0.01,,,95.31
AAPL.OQ,2014-07-08T18:00:00.000000000Z,95.12,665884,4992,95.12,95.13,66391,66391,132782,0.01,,,95.12
AAPL.OQ,2014-07-08T19:00:00.000000000Z,95.33,1567589,9832,95.32,95.34,109262,109262,218524,0.02,,,95.33
AAPL.OQ,2014-07-08T20:00:00.000000000Z,95.39,1582394,100,95.3,95.37,203,203,406,0.07,,,95.39
AAPL.OQ,2014-07-08T21:00:00.000000000Z,95.3,12166,50,95.27,95.34,219,219,438,0.07,,,95.3
AAPL.OQ,2014-07-08T22:00:00.000000000Z,95.33,11706,33,95.3,95.34,57,57,114,0.04,,,95.33
AAPL.OQ,2014-07-08T23:00:00.000000000Z,95.17,11018,57,95.04,95.22,168,168,336,0.18,,,95.17
AAPL.OQ,2014-07-09T08:00:00.000000000Z,95.31,1470,10,95.15,95.31,74,74,148,0.16,,,95.31
AAPL.OQ,2014-07-09T09:00:00.000000000Z,95.31,1835,12,95.25,0,97,97,194,-95.25,,,95.31
AAPL.OQ,2014-07-09T10:00:00.000000000Z,95.4,1190,9,95.25,95.42,19,19,38,0.17,,,95.4
AAPL.OQ,2014-07-09T11:00:00.000000000Z,95.47,6408,25,95.41,95.46,134,134,268,0.05,,,95.47
AAPL.OQ,2014-07-09T12:00:00.000000000Z,95.63,29286,121,95.52,95.72,895,895,1790,0.2,,,95.63
AAPL.OQ,2014-07-09T13:00:00.000000000Z,95.51,1658949,9728,95.51,95.53,94952,94952,189904,0.02,,,95.51
AAPL.OQ,2014-07-09T14:00:00.000000000Z,95.73,1247950,9094,95.73,95.74,98135,98135,196270,0.01,,,95.73
AAPL.OQ,2014-07-09T15:00:00.000000000Z,95.78,520476,4137,95.77,95.79,60556,60556,121112,0.02,,,95.78
AAPL.OQ,2014-07-09T16:00:00.000000000Z,95.41,506812,4209,95.4,95.41,52419,52419,104838,0.01,,,95.41
AAPL.OQ,2014-07-09T17:00:00.000000000Z,95.19,460841,3553,95.17,95.18,42918,42918,85836,0.01,,,95.19
AAPL.OQ,2014-07-09T18:00:00.000000000Z,95.43,1209495,8803,95.42,95.44,91768,91768,183536,0.02,,,95.43
AAPL.OQ,2014-07-09T19:00:00.000000000Z,95.39,1059889,7246,95.39,95.41,71148,71148,142296,0.02,,,95.39
AAPL.OQ,2014-07-09T20:00:00.000000000Z,95.38,2857387,40,94.31,95.39,289,289,578,1.08,,,95.38
AAPL.OQ,2014-07-09T21:00:00.000000000Z,95.35,1329,12,95.35,95.38,58,58,116,0.03,,,95.35
AAPL.OQ,2014-07-09T22:00:00.000000000Z,95.35,3505,12,95.2,95.36,30,30,60,0.16,,,95.35
AAPL.OQ,2014-07-09T23:00:00.000000000Z,95.39,1214,17,95.36,95.39,49,49,98,0.03,,,95.39
AAPL.OQ,2014-07-10T08:00:00.000000000Z,94.8,2384,13,94.8,94.9,51,51,102,0.1,,,94.8
AAPL.OQ,2014-07-10T09:00:00.000000000Z,94.48,10769,36,92.27,94.36,513,513,1026,2.09,,,94.48
AAPL.OQ,2014-07-10T10:00:00.000000000Z,93.97,18042,71,93.95,94,267,267,534,0.05,,,93.97
AAPL.OQ,2014-07-10T11:00:00.000000000Z,93.95,47440,100,93.95,93.97,277,277,554,0.02,,,93.95
AAPL.OQ,2014-07-10T12:00:00.000000000Z,93.79,128506,343,93.75,93.8,1055,1055,2110,0.05,,,93.79
AAPL.OQ,2014-07-10T13:00:00.000000000Z,94.2,2149336,10532,94.19,94.2,79315,79315,158630,0.01,,,94.2
AAPL.OQ,2014-07-10T14:00:00.000000000Z,94.51,1273404,9612,94.51,94.52,86541,86541,173082,0.01,,,94.51
AAPL.OQ,2014-07-10T15:00:00.000000000Z,94.59,568481,4856,94.58,94.59,55795,55795,111590,0.01,,,94.59
AAPL.OQ,2014-07-10T16:00:00.000000000Z,94.88,566316,4506,94.88,94.89,95454,95454,190908,0.01,,,94.88
AAPL.OQ,2014-07-10T17:00:00.000000000Z,95.26,983908,6676,95.25,95.27,134662,134662,269324,0.02,,,95.26
AAPL.OQ,2014-07-10T18:00:00.000000000Z,95.105,832379,6983,95.1,95.11,155541,155541,311082,0.01,,,95.105
